model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1416,17,1433,0.7752644489992235,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7575e8df951a3496c13051401948e10c78940eda,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1187,17,1204,0.32102587900226354,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,023f976cdd65b03e611c6bf71166cfb5e8d2a1fd,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1704,25,1729,0.599257118999958,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0b26a08f055d40c1a5430bb0ac6269d23cc28784,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_213|>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1386,16,1402,0.3681872410015785,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ee52181f6fd7a76b6e24ba0ccaa7c48ea2f7fcce,"{
 ""complexity"": ""nlogn""
} "
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1474,17,1491,0.3992352830027812,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba4a3332bce9085c95790a326a0e20fb676fd31,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1940,17,1957,0.5380683670009603,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,086e07f88770e5222e49cc6ab7fd9c23b18fc36e,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,quadratic,json,1466,16,1482,0.37103274300170597,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f851d6ccad123f73f0c9d10512531228fe918ae6,"{
 ""complexity"": ""quadratic""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1712,19,1731,0.49182018599822186,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,829a357a0c8125798e9f4838af825697f060e406,"{
 ""complexity"": ""nlogn""
} <||>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1619,17,1636,0.4357069670004421,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,58450dea444e1ea2cf04d6f99e291b808a4dff71,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1272,17,1289,0.3334550069994293,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba5e48bdcf7b43b9523b54f82ba762d49be8c9f,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1521,15,1536,0.3776149779987463,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4394ca363b06f7e491288ffc07524f39c5573ed9,"{
 ""complexity"": ""linear""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1252,26,1278,0.4356301679981698,1341,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,35c2bdbc1833cdb5fa574cdbf205263a5b45b38a,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_34|> 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1187,16,1203,0.3032616769996821,1330,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,483465766745983b05735b313618fbbc7c0687e6,"{
 ""complexity"": ""nlogn""
} "
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1416,17,1433,0.3713644339986786,1609,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e353da70465d9c5940ff8ba392def51575130d8b,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1517,17,1534,0.3988800219995028,2370,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3761e48b139f29dc7258157241e2eabe4312ffc8,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1295,25,1320,0.4332667160015262,2116,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2fb3938239df3034c118ec9740c25699e9afab5d,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_123|>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1566,25,1591,0.5099068689996784,2717,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,27644feb6e8383c53624e71b95774b9dd28a404a,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_213|>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1477,17,1494,0.38899153499733075,2177,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cab13bf94f8944ce4c1be10b548974c87f2bcbe4,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1335,17,1352,0.36103800699856947,2454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,312b88e6268adc34f69685dad9b5c8bffbe1eb5d,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1568,15,1583,0.38496471300095436,2393,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3af8c4210c852586559c5ee4ab71dd255f5d8c01,"{
 ""complexity"": ""linear""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1480,17,1497,0.39716422200217494,3059,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4d9f678ae848a4a29337bc08597486ab69e47010,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1534,17,1551,0.4040171160013415,2789,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,267485a3841b0c7e0185252a40c351263bc6454a,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1515,17,1532,0.3990100129994971,2955,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,95a5690fdfd8f0017f3135086e04b5b4c8c246b1,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1364,26,1390,0.47396595399914077,2269,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a0a31a7a236028f1eeb3286713bac6c9538b19b5,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_34|> 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1373,17,1390,0.3659297400008654,2282,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ac2a1e272c5b22968bc77fb8f3e2cd4a4c999dd8,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1597,19,1616,0.4582931129989447,2348,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,85b036d2521f09fb9da4a84b7ed2c1cb2ba3e571,"{
 ""complexity"": ""nlogn""
} <||>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1498,19,1517,0.4124478320009075,2234,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,209e49227ade23d088d1b2772cbaaa939cf1bb55,"{
 ""complexity"": ""nlogn""
} <||>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1766,17,1783,0.47611263599901577,2871,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7ddda975764b8f3d7a35a548d91dce3f83f5b1ce,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1422,26,1448,0.47890880799968727,1965,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0a37528c056d54c64f715ae6a7d6799cc6f0e7cb,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_34|> 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1504,17,1521,0.384236433001206,2099,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6427a8250a34c79797612c7b72635158524dd1b3,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1934,26,1960,0.6658270349980739,3642,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,49904223fe124d3e1a8b88ec2261beb715974a27,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_34|> 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1200,17,1217,0.3090606410005421,1343,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7f61b17fc5b28528f6b6d61cf8c9df23e3672d15,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1207,17,1224,0.3104215219973412,1323,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a4e3978b3f32a6a3a5330414f9e0188175a211a0,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1178,25,1203,0.39606214100058423,1454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,c250c2fd3ca81f7785d5e3a091c466f06c466510,"{
 ""complexity"": ""nlogn""
} <|reserved_special_token_213|>
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1719,17,1736,0.45268674999897485,2633,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6d8a857caa1abd85e4c4b528d7da59d7a21bc358,"{
 ""complexity"": ""nlogn""
} 
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,2232,19,2251,0.6295397709982353,3455,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ce515ec5606e35d5f4ce8c89dcc32be5637d3bbe,"{
 ""complexity"": ""nlogn""
} <|||
"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf,java,,constant,nlogn,json,1475,17,1492,0.3846776430000318,2317,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4465d97f8f1f54b3c4f2b0b5b34fffbc64569318,"{
 ""complexity"": ""nlogn""
} 
"
