model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1416,13,1429,0.5328371600007813,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7575e8df951a3496c13051401948e10c78940eda,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1186,13,1199,0.25498520600012853,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,023f976cdd65b03e611c6bf71166cfb5e8d2a1fd,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1705,14,1719,0.3901988249999704,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0b26a08f055d40c1a5430bb0ac6269d23cc28784,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1391,13,1404,0.29906891100108624,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ee52181f6fd7a76b6e24ba0ccaa7c48ea2f7fcce,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1473,13,1486,0.31633654500183184,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba4a3332bce9085c95790a326a0e20fb676fd31,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1944,14,1958,0.44436154900176916,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,086e07f88770e5222e49cc6ab7fd9c23b18fc36e,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1465,13,1478,0.3129870730008406,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f851d6ccad123f73f0c9d10512531228fe918ae6,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1715,14,1729,0.3876435029997083,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,829a357a0c8125798e9f4838af825697f060e406,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1623,14,1637,0.365453915001126,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,58450dea444e1ea2cf04d6f99e291b808a4dff71,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1275,13,1288,0.2684595470018394,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba5e48bdcf7b43b9523b54f82ba762d49be8c9f,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1522,13,1535,0.3247606419972726,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4394ca363b06f7e491288ffc07524f39c5573ed9,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1251,13,1264,0.2579193980018317,1341,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,35c2bdbc1833cdb5fa574cdbf205263a5b45b38a,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1196,13,1209,0.25332763500045985,1330,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,483465766745983b05735b313618fbbc7c0687e6,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1415,13,1428,0.3051094269976602,1609,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e353da70465d9c5940ff8ba392def51575130d8b,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1517,13,1530,0.32394238299821154,2370,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3761e48b139f29dc7258157241e2eabe4312ffc8,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1294,13,1307,0.2710511889999907,2116,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2fb3938239df3034c118ec9740c25699e9afab5d,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1570,14,1584,0.3577187299997604,2717,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,27644feb6e8383c53624e71b95774b9dd28a404a,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1476,13,1489,0.3184981480007991,2177,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cab13bf94f8944ce4c1be10b548974c87f2bcbe4,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,linear,json,1340,13,1353,0.2937088090002362,2454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,312b88e6268adc34f69685dad9b5c8bffbe1eb5d,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,logn,json,1571,14,1585,0.3486312419991009,2393,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3af8c4210c852586559c5ee4ab71dd255f5d8c01,"```json
{
 ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1481,13,1494,0.319249899002898,3059,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4d9f678ae848a4a29337bc08597486ab69e47010,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1536,13,1549,0.33139557899994543,2789,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,267485a3841b0c7e0185252a40c351263bc6454a,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1517,13,1530,0.32521715400071116,2955,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,95a5690fdfd8f0017f3135086e04b5b4c8c246b1,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1368,13,1381,0.2973615510018135,2269,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a0a31a7a236028f1eeb3286713bac6c9538b19b5,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1372,13,1385,0.2971070220010006,2282,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ac2a1e272c5b22968bc77fb8f3e2cd4a4c999dd8,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1597,13,1610,0.35604130899810116,2348,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,85b036d2521f09fb9da4a84b7ed2c1cb2ba3e571,"```json
{
 ""complexity"": ""constant""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf,java,,constant,constant,json,1497,13,1510,0.3194410190008057,2234,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,209e49227ade23d088d1b2772cbaaa939cf1bb55,"```json
{
 ""complexity"": ""constant""
}
```"
