model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1709,18,1727,0.6753053689990338,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7575e8df951a3496c13051401948e10c78940eda,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1418,18,1436,0.3294077870014007,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,023f976cdd65b03e611c6bf71166cfb5e8d2a1fd,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,2013,18,2031,0.5337969060001342,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0b26a08f055d40c1a5430bb0ac6269d23cc28784,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1750,18,1768,0.42398534400126664,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ee52181f6fd7a76b6e24ba0ccaa7c48ea2f7fcce,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1827,18,1845,0.44477578300029563,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba4a3332bce9085c95790a326a0e20fb676fd31,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,2428,27,2455,0.7473007230000803,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,086e07f88770e5222e49cc6ab7fd9c23b18fc36e,"
```json
{
    ""complexity"": ""quadratic""
}
```

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,quadratic,json,1734,21,1755,0.4596487960006925,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f851d6ccad123f73f0c9d10512531228fe918ae6,"
{
 ""complexity"": ""quadratic""
}

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,"i'm sorry, but i'm not able to determine the time ",fallback,2253,32,2285,0.756721200001266,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,829a357a0c8125798e9f4838af825697f060e406,"I'm sorry, but I'm not able to determine the time complexity of the code you provided.

Can you please provide me with more information"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1976,18,1994,0.4900098630005232,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,58450dea444e1ea2cf04d6f99e291b808a4dff71,"The time complexity of the code is nlogn.

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n log n).,fallback,1586,20,1606,0.39688684699831356,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba5e48bdcf7b43b9523b54f82ba762d49be8c9f,"The time complexity of the code is O(n log n).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,logn,substring,1873,20,1893,0.487383638999745,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4394ca363b06f7e491288ffc07524f39c5573ed9,"The time complexity of the code is O(nlogn).

"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codellama-7b-instruct.Q4_K_M.gguf,java,,constant,the time complexity of the code is o(n^2),fallback,1557,20,1577,0.389571480000086,1341,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,35c2bdbc1833cdb5fa574cdbf205263a5b45b38a,"The time complexity of the code is O(n^2)

"
