model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1413,14,1427,0.47979202800024723,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e194f46a1d28ef661a717a88b10854fa6d8d6f34,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,linear,json,1183,14,1197,0.23931953000010253,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,984be02dc3a18a241214440eca80fbdcdd41b2db,"```json
{
 ""complexity"": ""linear""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,logn,json,1702,15,1717,0.3506352539998261,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e8ae254cbb348980eae13dbe020d65740a8b6001,"```json
{
 ""complexity"": ""logn""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1388,14,1402,0.2776962940001795,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,25d607bb6c8489c1c2418c6d5120007e8a6efd39,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1470,14,1484,0.2915614319999804,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,28b537fb80ae524ae5ccaec7098baba464d73848,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,logn,json,1941,15,1956,0.3966680449998421,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,64302a8abc3afabb50498de2970c6fe0b3f1f481,"```json
{
 ""complexity"": ""logn""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1462,14,1476,0.2914276559999962,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,47ac758aa2fcf6a507b14f11b2875581fa138edc,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,logn,json,1712,15,1727,0.34910204400011935,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,21da7b3f4089ccc9e13c5ee4baf6e2acefba513f,"```json
{
 ""complexity"": ""logn""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,logn,json,1620,15,1635,0.3276980740001818,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,d4366c06e7ece2d3b8f43ac0df25bb76fd5670bb,"```json
{
 ""complexity"": ""logn""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1272,14,1286,0.2542522230000941,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,50a0300f40de43cb740c7bc1f62ec5a1f689a818,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1519,14,1533,0.3001707910002551,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,92e704a424e2b6078760eb78d29b56fdc963fc7b,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,linear,json,1248,14,1262,0.24349657299990213,1341,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,6311d92938c284a3b50dd132db633c56bdb7b68e,"```json
{
 ""complexity"": ""linear""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,linear,json,1193,14,1207,0.23925630900021133,1330,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,de7249ef0c60da95ebbcd5dac5763ed073964778,"```json
{
 ""complexity"": ""linear""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1412,14,1426,0.2825720000000729,1609,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,c0ca9c7fb3c83d02b04236bd756e1c6e04cae3b3,"```json
{
 ""complexity"": ""constant""
}
```"
Qwen/Qwen2.5-Coder-7B-Instruct-AWQ,java,,constant,constant,json,1514,14,1528,0.2949585260003005,2370,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e0600ff88550bf9638f939253c76d463d7b8c741,"```json
{
 ""complexity"": ""constant""
}
```"
