model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1540,17,1557,0.7095100299993646,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7575e8df951a3496c13051401948e10c78940eda,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1291,17,1308,0.3730121649996363,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,023f976cdd65b03e611c6bf71166cfb5e8d2a1fd,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1891,17,1908,0.5520815790005145,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0b26a08f055d40c1a5430bb0ac6269d23cc28784,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1539,17,1556,0.44545070700041833,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ee52181f6fd7a76b6e24ba0ccaa7c48ea2f7fcce,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1672,17,1689,0.4778228559998752,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba4a3332bce9085c95790a326a0e20fb676fd31,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,2210,17,2227,0.624521671000366,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,086e07f88770e5222e49cc6ab7fd9c23b18fc36e,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1607,17,1624,0.45885471499968844,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f851d6ccad123f73f0c9d10512531228fe918ae6,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1910,17,1927,0.5516552279996176,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,829a357a0c8125798e9f4838af825697f060e406,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1798,17,1815,0.511781596000219,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,58450dea444e1ea2cf04d6f99e291b808a4dff71,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1408,17,1425,0.4106171169996742,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba5e48bdcf7b43b9523b54f82ba762d49be8c9f,"```json
{
 ""complexity"": ""nlogn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/codegemma-1.1-7b-it-Q4_K_M.gguf,java,,constant,nlogn,json,1656,17,1673,0.4771627950003676,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4394ca363b06f7e491288ffc07524f39c5573ed9,"```json
{
 ""complexity"": ""nlogn""
}
```"
