model,split,example_id,true_label,pred_label,parse_method,prompt_tokens,gen_tokens,total_tokens,latency_s,code_len_chars,system_sha1,system_len_chars,user_sha1,response_text
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1464,9,1473,0.5585622389990021,2098,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,7575e8df951a3496c13051401948e10c78940eda,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1212,9,1221,0.23548497400042834,1238,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,023f976cdd65b03e611c6bf71166cfb5e8d2a1fd,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,nlogn,json,1751,11,1762,0.416518392998114,3208,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,0b26a08f055d40c1a5430bb0ac6269d23cc28784,"{
 ""complexity"": ""nlogn""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1434,13,1447,0.3439407490004669,1697,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ee52181f6fd7a76b6e24ba0ccaa7c48ea2f7fcce,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1520,9,1529,0.3140245149988914,2804,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba4a3332bce9085c95790a326a0e20fb676fd31,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,logn,json,2012,15,2027,0.5340281600001617,4591,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,086e07f88770e5222e49cc6ab7fd9c23b18fc36e,"```json
{
  ""complexity"": ""logn""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1495,9,1504,0.307225467000535,2322,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,f851d6ccad123f73f0c9d10512531228fe918ae6,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,quadratic,json,1792,14,1806,0.45878041200194275,2949,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,829a357a0c8125798e9f4838af825697f060e406,"```json
{
 ""complexity"": ""quadratic""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,quadratic,json,1663,15,1678,0.43035168899950804,3502,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,58450dea444e1ea2cf04d6f99e291b808a4dff71,"```json
{
  ""complexity"": ""quadratic""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1303,9,1312,0.2508261910006695,1351,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,fba5e48bdcf7b43b9523b54f82ba762d49be8c9f,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1565,9,1574,0.3273604599999089,1748,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4394ca363b06f7e491288ffc07524f39c5573ed9,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1292,10,1302,0.26174181299938937,1341,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,35c2bdbc1833cdb5fa574cdbf205263a5b45b38a,"{
  ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1238,14,1252,0.2988242370010994,1330,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,483465766745983b05735b313618fbbc7c0687e6,"```json
{
  ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1444,9,1453,0.2927346899996337,1609,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,e353da70465d9c5940ff8ba392def51575130d8b,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1559,9,1568,0.32699906999914674,2370,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3761e48b139f29dc7258157241e2eabe4312ffc8,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1353,9,1362,0.28134291599781136,2116,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,2fb3938239df3034c118ec9740c25699e9afab5d,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1612,9,1621,0.3459442410021438,2717,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,27644feb6e8383c53624e71b95774b9dd28a404a,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1525,9,1534,0.31627205699987826,2177,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,cab13bf94f8944ce4c1be10b548974c87f2bcbe4,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1386,9,1395,0.27912082400143845,2454,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,312b88e6268adc34f69685dad9b5c8bffbe1eb5d,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1637,13,1650,0.39689772100246046,2393,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,3af8c4210c852586559c5ee4ab71dd255f5d8c01,"```json
{
 ""complexity"": ""linear""
}
```"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1548,9,1557,0.32052536199989845,3059,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,4d9f678ae848a4a29337bc08597486ab69e47010,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1565,9,1574,0.3259786479975446,2789,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,267485a3841b0c7e0185252a40c351263bc6454a,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1597,9,1606,0.3383729820016015,2955,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,95a5690fdfd8f0017f3135086e04b5b4c8c246b1,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1425,9,1434,0.2891981360007776,2269,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,a0a31a7a236028f1eeb3286713bac6c9538b19b5,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1394,9,1403,0.2829043180026929,2282,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,ac2a1e272c5b22968bc77fb8f3e2cd4a4c999dd8,"{
 ""complexity"": ""linear""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,constant,json,1654,9,1663,0.35049583699947107,2348,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,85b036d2521f09fb9da4a84b7ed2c1cb2ba3e571,"{
 ""complexity"": ""constant""
}"
/home/jbeni/Desktop/School/CAP6640/Course Project/LLM_Code_Complexity_Pipeline/models/Ministral-8B-Instruct-2410-Q4_K_M.gguf,java,,constant,linear,json,1546,9,1555,0.31924947099832934,2234,6d6c03ab91bcf098d755ebc570952bd9d282beb9,3794,209e49227ade23d088d1b2772cbaaa939cf1bb55,"{
 ""complexity"": ""linear""
}"
